trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
183-4o9xqu249,4446,183-1,Union Station/South Park,"",0,293472,17538,
183-4pa5lpv2n,4446,183-1,Union Station/South Park,"",0,293477,17538,
183-4pd35yhym,4444,183-1,Southbound,"",0,293484,16607,
183-4rslpyt81,4444,183-1,Northbound,"",1,293483,16606,
183-4szfdhtzy,4446,183-1,Union Station/South Park,"",1,293459,18480,
183-4t9rrlay9,4444,183-1,Southbound,"",0,293479,16607,
183-4tilubzr5,4446,183-1,Union Station/South Park,"",1,293477,18480,
183-4tkfusc4j,4447,183-3,Little Tokyo/City West,"",0,293525,18751,
183-4uf8j4pya,4444,183-1,Southbound,"",0,293482,16607,
183-4vevi2t9h,4446,183-1,Union Station/South Park,"",1,293463,18480,
183-4xmnxzmri,4445,183-1,Southbound,"",0,293465,13220,
183-4zdr827mo,4444,183-1,Southbound,"",0,293471,16607,
183-4zkujvrz4,4445,183-1,Southbound,"",0,293465,13220,
183-4zsgij368,4444,183-3,Southbound,"",0,293543,16607,
183-50160xjnn,4447,183-2,Little Tokyo/City West,"",0,293494,18751,
183-50bh91rhs,4444,183-1,Southbound,"",0,293482,16607,
183-50sribdpb,4445,183-2,Southbound,"",0,293508,13220,
183-51qrpz5sc,4446,183-1,Union Station/South Park,"",1,293476,18480,
183-524azhgj0,4444,183-2,Northbound,"",1,293506,16606,
183-578hevd5n,4445,183-1,Southbound,"",0,293467,13220,
183-58ymm3qod,4446,183-2,Union Station/South Park,"",0,293515,17538,
183-59uyix0m6,4446,183-2,Union Station/South Park,"",1,293510,18480,
183-5adjh9xsu,4446,183-2,Union Station/South Park,"",0,293510,17538,
183-5bykmz7bx,4447,183-1,Little Tokyo/City West,"",0,293442,18751,
183-5c1pf53ml,4444,183-3,Northbound,"",1,293543,16606,
183-5c6vilmu6,4443,183-1,Southbound,"",0,293462,12224,
183-5cfhxvcif,4444,183-2,Southbound,"",0,293495,16607,
183-5dtmqtr0p,4446,183-2,Union Station/South Park,"",0,293515,17538,
183-5e1e0e8e3,4444,183-3,Southbound,"",0,293544,16607,
183-5efez2mtp,4446,183-2,Union Station/South Park,"",0,293515,17538,
