route_id,direction_id,direction
CC:615,1,Outbound
CC:616,1,Outbound
CC:616,0,Inbound
CC:619,1,Outbound
CC:622,1,Outbound
CC:623,1,Outbound
CC:625,0,Inbound
CC:625,1,Outbound
CC:626,1,Outbound
CC:626,0,Inbound
ST:6,0,East
ST:6,1,West
ST:G,0,South
ST:G,1,North
ST:Y,0,East
ST:Y,1,West
ST:1,1,North
ST:1,0,South
ST:4,1,North
ST:4,0,South
ST:3,0,East
ST:3,1,West
ST:5,1,North
ST:5,0,South
ST:7A,1,Clockwise
ST:7B,0,Counterclockwise
ST:8,0,East
ST:8,1,West
ST:15,0,Loop
ST:38,0,South
ST:38,1,North
ST:R,1,North
ST:R,0,South
ST:2,0,South
ST:2,1,North
ST:82,0,South
ST:82,1,North
ST:17,0,Loop
ST:B,0,South
ST:B,1,North
