,blockgroup,hub
995,G06000104231003,433769471
996,G06000104231003,45303398
997,G06000104231003,45303399
998,G06000104231003,479030247
999,G06000104231004,226852758
1000,G06000104231004,286961510
1001,G06000104231004,400277094
1002,G06000104231004,433769471
1003,G06000104231004,45303398
1004,G06000104231004,45303399
1005,G06000104231004,479030247
1006,G06000104232001,286961510
1007,G06000104232002,226852758
1008,G06000104232002,286961510
1009,G06000104232002,400277094
1010,G06000104232002,433769471
1011,G06000104232002,45303398
1012,G06000104232002,45303399
1013,G06000104232002,479030247
1014,G06000104233001,226852758
1015,G06000104233001,286961510
1016,G06000104233001,400277094
1017,G06000104233001,433769471
1018,G06000104233001,45303398
1019,G06000104233001,45303399
1020,G06000104233001,479030247
1021,G06000104233002,226852758
1022,G06000104233002,286961510
1023,G06000104233002,400277094
1024,G06000104233002,433769471
1025,G06000104233002,45303398
1026,G06000104233002,45303399
1027,G06000104233002,479030247
1028,G06000104233003,226852758
1029,G06000104233003,286961510
1030,G06000104233003,400277094
1031,G06000104233003,433769471
1032,G06000104233003,45303398
1033,G06000104233003,45303399
1034,G06000104233003,479030247
1035,G06000104234001,226852758
1036,G06000104234001,286961510
1037,G06000104234001,400277094
1038,G06000104234001,433769471
1039,G06000104234001,45303398
1040,G06000104234001,45303399
1041,G06000104234001,479030247
1042,G06000104234002,226852758
1043,G06000104234002,286961510
1044,G06000104234002,400277094
1045,G06000104234002,433769471
1046,G06000104234002,45303398
1047,G06000104234002,45303399
1048,G06000104234002,479030247
1049,G06000104234003,226852758
1050,G06000104234003,286961510
1051,G06000104234003,400277094
1052,G06000104234003,433769471
1053,G06000104234003,45303398
1054,G06000104234003,45303399
1055,G06000104234003,479030247
1056,G06000104234004,226852758
1057,G06000104234004,286961510
1058,G06000104234004,400277094
1059,G06000104234004,433769471
1060,G06000104234004,45303398
1061,G06000104234004,45303399
1062,G06000104234004,479030247
1063,G06000104235001,226852758
1064,G06000104235001,286961510
1065,G06000104235001,400277094
1066,G06000104235001,433769471
